time,open,high,low,close,Vol,UpVol,DnVol
2026-01-05T02:42,104.34,104.53,104.05,104.37,3,3,0
2026-01-05T02:43,105.36,105.57,105.17,105.53,8,8,0
2026-01-05T02:44,104.11,104.19,104.09,103.87,5,0,5
2026-01-05T02:45,105.12,105.42,104.76,105.09,8,0,8
2026-01-05T02:46,105.21,105.29,105.1,105.21,5,5,0
2026-01-05T02:47,105.02,105.12,104.81,105.25,2,2,0
2026-01-05T02:48,105.85,106.21,105.77,105.82,4,0,4
2026-01-05T02:49,104.24,104.42,104.21,104.08,1,0,1
2026-01-05T02:50,104.43,104.55,104.38,104.6,3,3,0
2026-01-05T02:51,104.29,104.64,103.9,104.12,1,0,1
2026-01-05T02:52,104.8,104.99,104.4,105.0,1,1,0
2026-01-05T02:53,105.41,105.81,105.25,105.36,3,0,3
2026-01-05T02:54,104.64,104.93,104.63,104.67,5,5,0
2026-01-05T02:55,105.41,105.56,105.2,105.29,1,0,1
2026-01-05T02:56,104.23,104.6,104.14,104.46,1,1,0
2026-01-05T02:57,104.53,104.55,104.22,104.39,1,0,1
2026-01-05T02:58,105.64,105.98,105.37,105.91,40,40,0
2026-01-05T02:59,105.03,105.23,104.9,104.9,1,0,1
2026-01-05T03:00,104.85,104.88,104.47,104.93,2,2,0
2026-01-05T03:01,104.17,104.51,104.14,104.39,5,5,0
2026-01-05T03:02,104.02,104.42,103.85,104.27,1,1,0
2026-01-05T03:03,104.09,104.37,103.71,104.37,2,2,0
2026-01-05T03:04,104.1,104.18,103.98,103.98,2,0,2
2026-01-05T03:05,104.58,104.78,104.51,104.49,0,0,0
2026-01-05T03:06,105.99,106.0,105.98,105.99,2,2,0
2026-01-05T03:07,105.03,105.13,104.85,105.12,9,9,0
2026-01-05T03:08,105.67,105.83,105.47,105.78,2,2,0
2026-01-05T03:09,104.69,105.02,104.41,104.77,4,4,0
2026-01-05T03:10,105.98,106.37,105.65,105.69,2,0,2
2026-01-05T03:11,104.86,104.88,104.59,104.79,8,0,8
2026-01-05T03:12,105.34,105.45,105.24,105.22,5,0,5
2026-01-05T03:13,104.37,104.48,104.37,104.29,3,0,3
2026-01-05T03:14,105.95,106.17,105.85,106.23,2,2,0
2026-01-05T03:15,104.44,104.51,104.31,104.19,2,0,2
2026-01-05T03:16,105.01,105.09,104.81,104.71,2,0,2
2026-01-05T03:17,105.63,105.69,105.4,105.57,2,0,2
2026-01-05T03:18,104.61,104.7,104.38,104.63,1,1,0
2026-01-05T03:19,105.32,105.61,104.97,105.25,3,0,3
